COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,股票代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B_LIST_DATE,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL
HYC,8,2,华兴源创,688001,江苏省,-,1,华兴源创,江苏省,"SUZHOU HYC TECHNOLOGY CO.,LTD",苏州华兴源创科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688001,苏州华兴源创科技股份有限公司,20190722,320000,-,0512-88168694,N,   D  F  NY         ,陈文源                        ,-,科创A,Y,高端装备,上市,118003,35,215000,华兴源创,-,ir@hyc.com,专用设备制造业,-,-,118003,320500,-,华兴转债,冯秀军,"SUZHOU HYC TECHNOLOGY CO.,LTD",江苏省苏州市吴中区苏州工业园区青丘巷8号,-,华兴转债,苏州工业园区青丘巷8号,44537.78,0.00,20250902,0.00,-,44537.78,44537.78,0.00
RAYTRON,8,2,睿创微纳,688002,山东省,-,2,睿创微纳,山东省,"RAYTRON TECHNOLOGY CO.,LTD.",睿创微纳,2,-,4,20190722,C,   D  F  NY         ,制造业,688002,烟台睿创微纳技术股份有限公司,20190722,370000,-,0535-3410615,N,   D  F  NY         ,马宏                          ,-,科创A,Y,新一代信息技术,上市,118030,39,264006,睿创微纳,-,raytron@raytrontek.com,计算机、通信和其他电子设备制造业,-,-,118030,370600,-,睿创转债,黄艳,"RAYTRON TECHNOLOGY CO.,LTD.",山东省烟台市自由贸易试验区烟台片区南昌大街3号八角湾中央创新区国际科创中心C楼,-,睿创转债,烟台开发区贵阳大街11号,46023.77,0.00,20250902,0.00,-,46023.77,46023.77,0.00
TZTEK,8,2,天准科技,688003,江苏省,-,3,天准科技,江苏省,"SUZHOU TZTEK TECHNOLOGY CO., LTD",天准科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688003,苏州天准科技股份有限公司,20190722,320000,-,0512-62399021,N,   D  F  NY         ,  徐一华                      ,-,科创A,Y,高端装备,上市,-,35,215163,天准科技,-,ir@tztek.com,专用设备制造业,-,-,-,320500,-,-,杨聪,"SUZHOU TZTEK TECHNOLOGY CO., LTD",江苏省苏州市高新区五台山路188号,-,-,苏州高新区五台山路188号,19413.65,0.00,20250902,0.00,-,19413.65,19413.65,0.00
BROADV,8,2,博汇科技,688004,北京市,-,4,博汇科技,北京市,"BEIJING BOHUI SCIENCE & TECHNOLOGY CO.,LTD",北京博汇科技,2,-,4,20200612,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688004,北京市博汇科技股份有限公司,20200612,110000,-,-,N,   D  F  NY         ,郭忠武                        ,-,科创A,Y,新一代信息技术,上市,-,65,100095,博汇科技,-,-,软件和信息技术服务业,-,-,-,110000,-,-,陈贺,"BEIJING BOHUI SCIENCE & TECHNOLOGY CO.,LTD",北京市海淀区铃兰路8号院1号楼6层601,-,-,北京市海淀区铃兰路8号院1号楼,8008.80,0.00,20250902,0.00,-,8008.80,8008.80,0.00
RONBAY TECHNOLOGY,8,2,容百科技,688005,浙江省,-,5,容百科技,浙江省,"Ningbo Ronbay New Energy Technology Co.,Ltd.",容百科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688005,宁波容百新能源科技股份有限公司,20190722,330000,-,0574-62730998,N,   D  F  NY         ,白厚善                        ,-,科创A,Y,节能环保,上市,-,39,315400,容百科技,否,ir@ronbaymat.com,计算机、通信和其他电子设备制造业,-,-,-,330200,-,-,俞济芸,"Ningbo Ronbay New Energy Technology Co.,Ltd.",浙江省宁波市余姚市谭家岭东路39号,-,-,浙江省余姚市谭家岭东路39号,71472.55,10.67,20250902,0.00,-,71461.88,71461.88,0.00
HANGKE TECHNOLOGY,8,2,杭可科技,688006,浙江省,-,6,杭可科技,浙江省,Zhejiang HangKe Technology Incorporated Company,浙江杭可科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688006,浙江杭可科技股份有限公司,20190722,330000,-,0571-82210886,N,   D  F  NY         ,俞平广                        ,-,科创A,Y,节能环保,上市,-,35,311200,杭可科技,-,hq@chr-group.net,专用设备制造业,-,-,-,330100,-,-,孙唯雅,Zhejiang HangKe Technology Incorporated Company,浙江省杭州市萧山经济技术开发区桥南区块高新十一路77号,-,-,浙江省杭州市萧山经济技术开发区高新六路298号杭可三工厂,60367.22,0.00,20250902,0.00,-,60367.22,60367.22,0.00
APPOTRONICS,8,2,光峰科技,688007,广东省,-,7,光峰科技,广东省,Appotronics Corporation Limited,光峰科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688007,深圳光峰科技股份有限公司,20190722,440000,-,0755-32950536,N,   D  F  NY         ,李屹                          ,-,科创A,Y,高端装备,上市,-,39,518052,光峰科技,-,ir@appotronics.com,计算机、通信和其他电子设备制造业,-,-,-,440300,-,-,陈雅莎,Appotronics Corporation Limited,"广东省深圳市南山区西丽街道西丽社区仙洞路8号光峰科技总部大厦4层-7层,2905-2907,31层-32层",-,-,广东省深圳市南山区西丽街道仙洞路8号光峰科技总部大厦,45929.11,0.00,20250902,0.00,-,45929.11,45929.11,0.00
MONTAGE TECHNOLOGY,8,2,澜起科技,688008,上海市,-,8,澜起科技,上海市,"MONTAGE TECHNOLOGY CO., LTD.",澜起科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688008,澜起科技股份有限公司,20190722,310000,-,021 5467 9039,N,   D  F  NY         ,杨崇和                        ,-,科创A,Y,新一代信息技术,上市,-,39,200233,澜起科技,是,ir@montage-tech.com,计算机、通信和其他电子设备制造业,-,-,-,310000,-,-,傅晓,"MONTAGE TECHNOLOGY CO., LTD.",上海市徐汇区漕宝路181号1幢15层,-,-,上海市徐汇区漕宝路181号和光天地16 层,114515.13,0.00,20250902,0.00,-,114515.13,114515.13,0.00
CRSC,8,2,中国通号,688009,北京市,-,9,中国通号,北京市,China Railway Signal & Communication Corporation Limited,中国通号,2,-,4,20190722,C,   D  F  NY         ,制造业,688009,中国铁路通信信号股份有限公司,20190722,110000,-,010-50809086,N,   D  F  NY         ,楼齐良                        ,-,科创A,Y,高端装备,上市,-,37,100070,中国通号,是,ir@crsc.cn,铁路、船舶、航空航天和其他运输设备制造业,-,-,-,110000,-,-, 李连清,China Railway Signal & Communication Corporation Limited,北京市丰台区汽车博物馆南路1号院中国通号大厦A座20层,-,-,北京市丰台区汽车博物馆南路1号院中国通号大厦A座,862101.80,0.00,20250902,0.00,-,862101.80,862101.80,0.00
FORECAM,8,2,福光股份,688010,福建省,-,10,福光股份,福建省,"Fujian Forecam Optics Co.,Ltd.",福光股份,2,-,4,20190722,C,   D  F  NY         ,制造业,688010,福建福光股份有限公司,20190722,350000,-,0591-38133727,N,   D  F  NY         ,何文波                        ,-,科创A,Y,高端装备,上市,-,40,350015,福光股份,-,zhengquan01@forecam.com,仪器仪表制造业,-,-,-,350100,-,-,黄健,"Fujian Forecam Optics Co.,Ltd.",福建省福州市马尾区江滨东大道158号,-,-,福州市马尾区江滨东大道158号,16056.16,0.00,20250902,0.00,-,16056.16,16056.16,0.00
