COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,A股代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B股代码,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,A股上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B股上市日期,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL,市场类型
SPD BANK,1,1,浦发银行,600000,上海市,-,1,浦发银行,上海市,"Shanghai Pudong Development Bank Co.,Ltd.",浦发银行,2,-,4,19991110,J,   D  F  N          ,金融业,600000,上海浦东发展银行股份有限公司,19991110,310000,-,63611226,N,   D  F  N          ,张为忠                        ,-,主板A,Y,-,上市,110059,66,200002,浦发银行,是,SHAzhdjshbgs@spdb.com.cn,货币金融服务,-,否,110059,310000,-,浦发转债,张健,"Shanghai Pudong Development Bank Co.,Ltd.",上海市黄浦区中山东一路12号,-,浦发转债,上海市中山东一路12号,3052548.98,0.00,20250902,0.00,-,3052548.98,3052548.98,0.00,主板A股
GBIAC,1,1,白云机场,600004,广东省,-,2,白云机场,广东省,Guangzhou Baiyun International Airport Company Limited,白云机场,2,-,4,20030428,G,   D  F  N          ,交通运输、仓储和邮政业,600004,广州白云国际机场股份有限公司,20030428,440000,-,020-36063593/5,N,   D  F  N          ,王晓勇                        ,-,主板A,Y,-,上市,110035,56,510470,白云机场,否,600004@gdairport.com,航空运输业,-,否,-,440100,-,白云转债,段冬生,Guangzhou Baiyun International Airport Company Limited,广东省广州市白云国际机场南工作区自编一号,-,-,广州白云国际机场东南工作区空港南横四路综合服务大楼一区,236671.83,0.00,20250902,0.00,-,236671.83,236671.83,0.00,主板A股
DFAC,1,1,东风股份,600006,湖北省,-,3,东风股份,湖北省,"DONGFENG AUTOMOBILE CO.,LTD.",东风股份,2,-,4,19990727,C,   D  F  N          ,制造业,600006,东风汽车股份有限公司,19990727,420000,-,027-84287896,N,   D  F  N          ,周先鹏                        ,-,主板A,Y,-,上市,-,36,430056,东风股份,否,dfac@dfac.com,汽车制造业,-,否,-,420600,-,-,周方平,"DONGFENG AUTOMOBILE CO.,LTD.",湖北省襄阳市高新区东风汽车大道劲风路3幢,-,-,湖北省武汉经济技术开发区创业路58号,200000.00,0.00,20250902,0.00,-,200000.00,200000.00,0.00,主板A股
"CWTC CO.,LTD.",1,1,中国国贸,600007,北京市,-,4,中国国贸,北京市,"China World Trade Center Co.,Ltd.",中国国贸,2,-,4,19990312,K,   D  F  N          ,房地产业,600007,中国国际贸易中心股份有限公司,19990312,110000,-,010-65052288,N,   D  F  N          ,黄国祥                        ,-,主板A,Y,-,上市,-,70,100004,中国国贸,否,dongmi@cwtc.com,房地产业,-,否,-,110000,-,-,陈峰,"China World Trade Center Co.,Ltd.",北京市朝阳区建国门外大街1号,-,-,北京市建国门外大街1号国贸大厦A座29层,100728.25,0.00,20250902,0.00,-,100728.25,100728.25,0.00,主板A股
Capital Eco-Pro Group,1,1,首创环保,600008,北京市,-,5,首创环保,北京市,"BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION GROUP CO.,LTD.",首创环保,2,-,4,20000427,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600008,北京首创生态环保集团股份有限公司,20000427,110000,-,010-68356169,N,   D  F  N          ,刘永政                        ,-,主板A,Y,-,上市,-,46,100044,首创环保,否,securities@capitalwater.cn,水的生产和供应业,-,否,-,110000,-,-,官念,"BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION GROUP CO.,LTD.",北京市西城区车公庄大街21号39幢16层,-,-,北京市西城区车公庄大街21号2号楼,734059.07,0.00,20250902,0.00,-,734059.07,734059.07,0.00,主板A股
SIA,1,1,上海机场,600009,上海市,-,6,上海机场,上海市,"Shanghai International Airport Co.,Ltd.",上海机场,2,-,4,19980218,G,   D  F  N          ,交通运输、仓储和邮政业,600009,上海国际机场股份有限公司,19980218,310000,-,021-68341609,N,   D  F  N          ,冯昕                          ,-,主板A,Y,-,上市,-,56,201207,上海机场,是,ir@shairport.com,航空运输业,-,否,-,310000,-,-,黄晔,"Shanghai International Airport Co.,Ltd.",上海市浦东新区启航路900号,-,-,上海市浦东新区启航路900号,248848.13,56978.54,20250902,0.00,-,191869.59,191869.59,0.00,主板A股
BSU,1,1,包钢股份,600010,内蒙古自治区,-,7,包钢股份,内蒙古自治区,"Inner Mongolia Baotou Steel Union Co.,Ltd",包钢股份,2,-,4,20010309,C,   D  F  N          ,制造业,600010,内蒙古包钢钢联股份有限公司,20010309,150000,-,0472-2669528,N,   D  F  N          ,张昭                          ,-,主板A,Y,-,上市,-,31,014010,包钢股份,是,glgfzqb@126.com,黑色金属冶炼和压延加工业,-,否,-,150200,-,-,郭文亮,"Inner Mongolia Baotou Steel Union Co.,Ltd",内蒙古自治区包头市昆区河西工业区,-,-,内蒙古包头市昆区包钢信息大楼,4528861.93,1390782.11,20250902,0.00,-,3138079.83,3138079.83,0.00,主板A股
HPI,1,1,华能国际,600011,河北省,-,8,华能国际,河北省,"Huaneng Power International,Inc.",华能国际,2,-,4,20011206,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600011,华能国际电力股份有限公司,20011206,130000,-,-,N,   D  F  N          ,国务院国资委                  ,-,主板A,Y,-,上市,-,44,100031,华能国际,是,zqb@hpi.com.cn,电力、热力生产和供应业,香港、纽约,是,-,130600,-,-,黄朝全,"Huaneng Power International,Inc.",河北省保定市雄安新区启动区华能总部,-,-,北京市西城区复兴门内大街6号华能大厦,1099770.99,0.00,20250902,0.00,-,1099770.99,1099770.99,0.00,主板A股
ANHUI EXPRESSWAY,1,1,皖通高速,600012,安徽省,-,9,皖通高速,安徽省,Anhui Expressway Company Limited,皖通高速,2,-,4,20030107,G,   D  F  N          ,交通运输、仓储和邮政业,600012,安徽皖通高速公路股份有限公司,20030107,340000,-,0551-65338697,N,   D  F  N          ,汪小文                        ,-,主板A,Y,-,上市,-,54,230088,皖通高速,否,wtgs@anhui-expressway.net,道路运输业,香港,是,-,340100,-,-,丁瑜,Anhui Expressway Company Limited,安徽省合肥市蜀山区望江西路520号,-,-,安徽省合肥市望江西路520号,116560.00,0.00,20250902,0.00,-,116560.00,116560.00,0.00,主板A股
HUAXIA BANK,1,1,华夏银行,600015,北京市,-,10,华夏银行,北京市,"Hua Xia Bank Co.,Limited",华夏银行,2,-,4,20030912,J,   D  F  N          ,金融业,600015,华夏银行股份有限公司,20030912,110000,-,01085238570 85239938,N,   D  F  N          ,杨书剑                        ,-,主板A,Y,-,上市,-,66,100005,华夏银行,是,zhdb@hxb.com.cn,货币金融服务,-,否,-,110000,-,-,杨伟,"Hua Xia Bank Co.,Limited",北京市东城区建国门内大街22号,-,-,北京市东城区建国门内大街22号华夏银行大厦,1591492.85,52770.45,20250902,0.00,-,1538722.40,1538722.40,0.00,主板A股
CMBC,1,1,民生银行,600016,北京市,-,11,民生银行,北京市,"China Minsheng Banking Corp., Ltd.",民生银行,2,-,4,20001219,J,   D  F  N          ,金融业,600016,中国民生银行股份有限公司,20001219,110000,-,010－58560975,N,   D  F  N          ,高迎欣                        ,-,主板A,Y,-,上市,190023,66,100873,民生银行,是,cmbc@cmbc.com.cn,货币金融服务,香港,是,-,110000,-,民生转股,李彬,"China Minsheng Banking Corp., Ltd.",北京市西城区复兴门内大街2号,-,-,中国北京市西城区复兴门内大街2号民生银行大厦北楼11层,3546212.32,0.00,20250902,0.00,-,3546212.32,3546212.32,0.00,主板A股
RIZHAO PORT,1,1,日照港,600017,山东省,-,12,日照港,山东省,"RIZHAO PORT CO.,LTD.",日照港,2,-,4,20061017,G,   D  F  N          ,交通运输、仓储和邮政业,600017,日照港股份有限公司,20061017,370000,-,0633-8388822,N,   D  F  N          , 牟伟                         ,-,主板A,Y,-,上市,-,55,276826,日照港,否,rzport@vip.163.com,水上运输业,-,否,-,371100,-,-,刘荣,"RIZHAO PORT CO.,LTD.",山东省日照市海滨二路,-,-,山东省日照市海滨二路81号,307565.39,0.00,20250902,0.00,-,307565.39,307565.39,0.00,主板A股
SIPG,1,1,上港集团,600018,上海市,-,13,上港集团,上海市,"Shanghai International Port (Group) Co., Ltd.",上港集团,2,-,4,20000719,G,   D  F  N          ,交通运输、仓储和邮政业,600018,上海国际港务(集团)股份有限公司,20000719,310000,-,021-35308688,N,   D  F  N          ,宋晓东                        ,-,主板A,Y,-,上市,-,55,200080,上港集团,是,dongmi@portshanghai.com.cn,水上运输业,-,否,-,310000,-,-,杨智勇,"Shanghai International Port (Group) Co., Ltd.",上海市自由贸易试验区临港新片区同汇路1号综合大楼A区4楼,-,-,上海市虹口区东大名路358号国际港务大厦,2328136.53,6678.75,20250902,0.00,-,2321457.78,2321457.78,0.00,主板A股
BAOSTEEL,1,1,宝钢股份,600019,上海市,-,14,宝钢股份,上海市,"Baoshan Iron & Steel Co.,Ltd.",宝钢股份,2,-,4,20001212,C,   D  F  N          ,制造业,600019,宝山钢铁股份有限公司,20001212,310000,-,26647000,N,   D  F  N          ,邹继新                        ,-,主板A,Y,-,上市,-,31,201900,宝钢股份,是,ir@baosteel.com,黑色金属冶炼和压延加工业,-,否,-,310000,-,-,王娟,"Baoshan Iron & Steel Co.,Ltd.",上海市宝山区富锦路885号宝钢指挥中心,-,-,上海市宝山区富锦路885号宝钢指挥中心,2178208.47,0.00,20250902,0.00,-,2178208.47,2178208.47,0.00,主板A股
ZHONGYUAN EXPRESSWAY,1,1,中原高速,600020,河南省,-,15,中原高速,河南省,"Henan Zhongyuan Expressway Co.,Ltd.",中原高速,2,-,4,20030808,G,   D  F  N          ,交通运输、仓储和邮政业,600020,河南中原高速公路股份有限公司,20030808,410000,-,0371-67717695,N,   D  F  N          ,刘静                          ,-,主板A,Y,-,上市,-,54,450003,中原高速,否,zygsdmc@163.com,道路运输业,-,否,-,410100,-,-,杨亚子,"Henan Zhongyuan Expressway Co.,Ltd.",河南省郑州市金水区徐庄东路97号牛顿国际B座3楼H11,-,-,郑州市郑东新区农业东路100号中原高速,224737.18,0.00,20250902,0.00,-,224737.18,224737.18,0.00,主板A股
SEP,1,1,上海电力,600021,上海市,-,16,上海电力,上海市,"Shanghai Electric Power Co.,Ltd",上海电力,2,-,4,20031029,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600021,上海电力股份有限公司,20031029,310000,-,021-23108718,N,   D  F  N          ,林华                          ,-,主板A,Y,-,上市,-,44,200126,上海电力,否,shanghaipower@spic.com.cn,电力、热力生产和供应业,-,否,-,310000,-,-,邹忆,"Shanghai Electric Power Co.,Ltd",上海市浦东新区高科西路1号,-,-,上海市浦东新区高科西路1号,281674.36,0.00,20250902,0.00,-,281674.36,281674.36,0.00,主板A股
SHANDONG STEEL,1,1,山东钢铁,600022,山东省,-,17,山东钢铁,山东省,Shandong Iron and Steel Company Ltd,山东钢铁,2,-,4,20040629,C,   D  F  N          ,制造业,600022,山东钢铁股份有限公司,20040629,370000,-,0531-77920789,N,   D  F  N          , 解旗                         ,-,主板A,Y,-,上市,-,31,271104,山东钢铁,否,sdgt600022@126.com,黑色金属冶炼和压延加工业,-,否,-,370100,-,-,唐邦秀,Shandong Iron and Steel Company Ltd,山东省济南市钢城区府前大街99号,-,-,山东省济南市钢城区府前大街99号,1069884.96,0.00,20250902,0.00,-,1069884.96,1069884.96,0.00,主板A股
