COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,A股代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B股代码,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,A股上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B股上市日期,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL,市场类型
HSTD,2,1,黄山旅游,600054,安徽省,-,1,黄山Ｂ股,安徽省,"Huangshan Tourism Development Co.,Ltd.",黄山旅游,2,900942,4,19961122,N,   D  F  N          ,水利、环境和公共设施管理业,600054,黄山旅游发展股份有限公司,19970506,340000,上市,0559-2586678,N,   D  F  N          ,章德辉                        ,黄山B股,主板A,Y,-,上市,-,78,245000,黄山旅游,否,hs600054@126.com,公共设施管理业,-,否,-,341000,19961122,-,丁维,"Huangshan Tourism Development Co.,Ltd.",安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),黄山Ｂ股,-,安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,72937.94,0.00,20250902,21607.94,-,72937.94,51330.00,0.00,主板B股
GREATTOWN,2,1,大名城,600094,上海市,-,2,大名城B,上海市,Greattown Holdings Ltd.,大名城,2,900940,4,19960726,K,   D  F  N          ,房地产业,600094,上海大名城企业股份有限公司,19970703,310000,上市,021-62478900,N,   D  F  N          ,俞锦                          ,大名城B,主板A,Y,-,上市,-,70,201103,大名城,否,-,房地产业,-,否,-,310000,19960726,-,张燕琦,Greattown Holdings Ltd.,上海市闵行区红松东路1116号1幢5楼A区,大名城B,-,上海市红松东路1116号上海虹桥元一大厦五楼,236485.20,0.00,20250902,19872.01,-,236485.20,216613.20,0.00,主板B股
HAINAN AIRLINES HOLDING,2,1,海航控股,600221,海南省,-,3,海控B股,海南省,"Hainan Airlines Holding Co., Ltd.",海航控股,2,900945,4,19970626,G,   D  F  N          ,交通运输、仓储和邮政业,600221,海南航空控股股份有限公司,19991125,460000,上市,0898-65801619,N,   D  F  N          ,祝涛                          ,海控B股,主板A,Y,-,上市,-,56,571126,海航控股,否,presidentmailbox@hnair.com,航空运输业,-,否,-,460100,19970626,-,葛兴峰,"Hainan Airlines Holding Co., Ltd.",海南省海口市美兰区美兰机场路9号海南航空海口美兰基地21号楼综合办公楼,海控B股,-,海南省海口市美兰区美兰机场路9号海南航空海口美兰基地21号楼综合办公楼,4321563.25,997350.95,20250902,36944.64,-,3324212.31,3287267.67,0.00,主板B股
SHKK,2,1,开开实业,600272,上海市,-,4,开开Ｂ股,上海市,Shanghai Kai Kai Industrial Company Limited,开开实业,2,900943,4,19970108,F,   D  F  N          ,批发和零售业,600272,上海开开实业股份有限公司,20010228,310000,上市,021-62712002,N,   D  F  N          ,庄虔赟                        ,开开B股,主板A,Y,-,上市,-,52,200040,开开实业,否,dm@chinesekk.com,零售业,-,否,-,310000,19970108,-,张燕华,Shanghai Kai Kai Industrial Company Limited,上海市静安区新闸路921号201室K02,开开Ｂ股,-,上海市静安区海防路421号3号楼1-3楼,26265.19,2265.19,20250902,8000.00,-,24000.00,16000.00,0.00,主板B股
ERDOS,2,1,鄂尔多斯,600295,内蒙古自治区,-,5,鄂资Ｂ股,内蒙古自治区,"INNER MONGOLIA ERDOS RESOURCES CO.,LTD.",鄂尔多斯,2,900936,4,19951020,C,   D  F  N          ,制造业,600295,内蒙古鄂尔多斯资源股份有限公司,20010426,150000,上市,0477-8543776,N,   D  F  N          ,王臻                          ,鄂资B股,主板A,Y,-,上市,-,31,017000,鄂尔多斯,否,guo_s@chinaerdos.com,黑色金属冶炼和压延加工业,-,否,-,150600,19951020,-,郭升,"INNER MONGOLIA ERDOS RESOURCES CO.,LTD.",内蒙古自治区鄂尔多斯市东胜区罕台轻纺街1号,鄂资Ｂ股,-,内蒙古鄂尔多斯市东胜区罕台镇羊绒工业园区行政中心6楼证券处,279877.63,0.00,20250902,82320.00,-,279877.63,197557.63,0.00,主板B股
ZPMC,2,1,振华重工,600320,上海市,-,6,振华Ｂ股,上海市,"Shanghai Zhenhua Heavy Industries Co.,Ltd.",振华重工,2,900947,4,19970805,C,   D  F  N          ,制造业,600320,上海振华重工(集团)股份有限公司,20001221,310000,上市,50390727,N,   D  F  N          ,由瑞凯                        ,振华B股,主板A,Y,-,上市,-,34,200125,振华重工,否,ir@zpmc.com,通用设备制造业,-,否,-,310000,19970805,-,孙厉,"Shanghai Zhenhua Heavy Industries Co.,Ltd.",上海市浦东新区浦东南路3470号,振华Ｂ股,-,上海市东方路3261号,526835.35,0.00,20250902,194635.58,-,526835.35,332199.77,0.00,主板B股
INESA-IT,2,1,云赛智联,600602,上海市,-,7,云赛Ｂ股,上海市,INESA Intelligent Tech Inc.,云赛智联,2,900901,4,19920221,I,   D  F  N          ,信息传输、软件和信息技术服务业,600602,云赛智联股份有限公司,19901219,310000,上市,-,N,   D  F  N          ,黄金刚                        ,云赛B股,主板A,Y,-,上市,-,65,200233,云赛智联,否,director@inesa-it.com,软件和信息技术服务业,-,否,-,310000,19920221,-,张杏兴,INESA Intelligent Tech Inc.,上海市浦东新区张江高科技园区张衡路200号1号楼2楼,云赛Ｂ股,-,上海市徐汇区宜州路180号B6栋9-10楼,136767.35,0.00,20250902,29337.05,-,136767.35,107430.30,0.00,主板B股
SHIBEI HI-TECH,2,1,市北高新,600604,上海市,-,8,市北B股,上海市,"Shanghai Shibei Hi-Tech Co.,Ltd.",市北高新,2,900902,4,19920701,K,   D  F  N          ,房地产业,600604,上海市北高新股份有限公司,19920327,310000,上市,021-66528130,N,   D  F  N          ,孙中峰                        ,市北B股,主板A,Y,-,上市,-,70,200436,市北高新,否,zhengquan@shibei.com,房地产业,-,否,-,310000,19920701,-,胡申,"Shanghai Shibei Hi-Tech Co.,Ltd.",上海市静安区共和新路3088弄2号1008室,市北B股,-,上海市江场三路262号1楼,187330.48,0.00,20250902,46585.00,-,187330.48,140745.48,0.00,主板B股
ZYD,2,1,中毅达,600610,贵州省,-,9,中毅达B,贵州省,"GUIZHOU ZHONGYIDA CO., LTD.",中毅达,2,900906,4,19920728,C,   D  F  N          ,制造业,600610,贵州中毅达股份有限公司,19920805,520000,上市,18918578526,N,   D  F  N          ,申苗                          ,中毅达B,主板A,Y,-,上市,-,26,200086,中毅达,否,zhongyidash@163.com,化学原料和化学制品制造业,-,否,-,522700,19920728,-,朱新刚,"GUIZHOU ZHONGYIDA CO., LTD.",贵州省黔南布依族苗族自治州福泉市马场坪瓮福工业园办公楼201室,中毅达B,-,上海市虹口区海伦路 440 号金融街海伦中心A座9层905单元,107127.46,218.79,20250902,36036.00,-,106908.67,70872.67,0.00,主板B股
DZT,2,1,大众交通,600611,上海市,-,10,大众Ｂ股,上海市,"DAZHONG TRANSPORTATION(GROUP)CO.,LTD.",大众交通,2,900903,4,19920722,G,   D  F  N          ,交通运输、仓储和邮政业,600611,大众交通(集团)股份有限公司,19920807,310000,上市,64289122,N,   D  F  N          ,杨国平                        ,大众B股,主板A,Y,-,上市,-,54,200232,大众交通,否,DZJT@96822.COM,道路运输业,-,否,-,310000,19920722,-, 诸颖妍,"DAZHONG TRANSPORTATION(GROUP)CO.,LTD.",上海市徐汇区中山西路1515号大众大厦12楼,大众Ｂ股,-,上海市徐汇区龙腾大道2121号众腾大厦1号楼11楼,236412.29,0.00,20250902,80080.65,-,236412.29,156331.64,0.00,主板B股
